,Difference score
Perireunensis nucleus,-0.03792659506054691
Paracentral nucleus,-0.028726690271814764
"Interpeduncular nucleus, rostrolateral",-0.025505638282232984
"Subparafascicular nucleus, parvicellular part",-0.015724787264271706
Tegmental reticular nucleus,-0.015465498353939088
"Primary somatosensory area, upper limb, layer 6a",-0.013092426854458467
crossed tectospinal pathway,-0.012942518407909859
root,-0.011865288108824479
"Primary somatosensory area, unassigned, layer 6a",-0.010758676644010867
Rostral linear nucleus raphe,-0.0038635440821240116
"Temporal association areas, layer 6a",-0.0017280930037832654
fimbria,0.00036010316823076316
"Primary somatosensory area, unassigned, layer 5",0.004067562652896081
"Anterior area, layer 6a",0.0057075869965492465
"Interpeduncular nucleus, dorsomedial",0.005758489356109321
"Interpeduncular nucleus, rostral",0.006057454141278867
Facial motor nucleus,0.013515449174245575
"Anteromedial visual area, layer 6a",0.01643664120395534
"Agranular insular area, ventral part, layer 6a",0.018212415264610482
"Supplemental somatosensory area, layer 5",0.019485585744241085
"Entorhinal area, lateral part, layer 6a",0.022669123963881294
"Primary somatosensory area, mouth, layer 4",0.022948570960066063
Nucleus sagulum,0.031612078198763334
"Entorhinal area, lateral part, layer 3",0.032780295506972784
Parasubiculum,0.036151584036280215
Peritrigeminal zone,0.03725814954427814
"Prelimbic area, layer 1",0.03925629245111811
choroid plexus,0.0434093163986789
Peripeduncular nucleus,0.048355615976859424
"Dorsal auditory area, layer 2/3",0.050982093210548085
"Visceral area, layer 4",0.05117277313303069
Ectorhinal area/Layer 6a,0.05426378513384204
Subparafascicular area,0.056347977622422954
"Rostrolateral area, layer 4",0.061774591371731954
Median preoptic nucleus,0.06364488247102176
"Orbital area, ventrolateral part, layer 6a",0.06480016516536169
"Visceral area, layer 2/3",0.06511192134039238
Ventral tegmental area,0.06546857727971422
"Primary somatosensory area, lower limb, layer 6a",0.06627286271701685
Posterodorsal preoptic nucleus,0.06655925243580413
"Supplemental somatosensory area, layer 6b",0.06864642680789226
"Anterior area, layer 5",0.07091592938299193
Posterior triangular thalamic nucleus,0.07124550605641877
"Supplemental somatosensory area, layer 4",0.07720696491810157
Paraventricular nucleus of the thalamus,0.085868343778229
"Primary somatosensory area, upper limb, layer 6b",0.08613937036383318
"corpus callosum, splenium",0.08649267425087251
"Interpeduncular nucleus, caudal",0.09100215283328114
Central linear nucleus raphe,0.09332157944307298
"Retrosplenial area, lateral agranular part, layer 1",0.09692479576308705
"Primary somatosensory area, trunk, layer 6b",0.09755337787236001
"Endopiriform nucleus, dorsal part",0.10107304600014126
"Inferior colliculus, dorsal nucleus",0.10218265064329642
Supratrigeminal nucleus,0.1082063201468544
"Visceral area, layer 6b",0.11128991998003102
"Primary somatosensory area, trunk, layer 5",0.11245692789537884
"Retrosplenial area, lateral agranular part, layer 5",0.11312239875721603
Central medial nucleus of the thalamus,0.11504124901598645
Interpeduncular nucleus,0.12709836750512082
"Temporal association areas, layer 5",0.12796695409212616
"Anteromedial visual area, layer 1",0.12918500970370259
vestibular nerve,0.13104858168011094
ventral tegmental decussation,0.13168841614844468
Ectorhinal area/Layer 6b,0.13448823251937275
Lateral amygdalar nucleus,0.13477932869587708
"Primary somatosensory area, barrel field, layer 2/3",0.144284689358193
"Ventral auditory area, layer 2/3",0.14726100216927618
Supramammillary nucleus,0.1528826728993676
"Anteromedial visual area, layer 2/3",0.16373232639216329
Medial amygdalar nucleus,0.17175019845647843
"Primary somatosensory area, upper limb, layer 5",0.1787788487407076
Accessory trigeminal nucleus,0.17974109237673747
mammillary peduncle,0.18265419399717014
Pons,0.18623618868388936
Posterior limiting nucleus of the thalamus,0.18876408708817383
"Temporal association areas, layer 2/3",0.19176771115704477
"Retrosplenial area, dorsal part, layer 2/3",0.19256463951599218
"Perirhinal area, layer 6a",0.2015426620229987
"Anterior cingulate area, ventral part, layer 2/3",0.2063014431085073
"Anterior area, layer 4",0.20719473950905284
Nucleus raphe pontis,0.2073819385077326
"Posterior auditory area, layer 2/3",0.20922820793154068
"Secondary motor area, layer 5",0.20934975526400404
"Primary somatosensory area, lower limb, layer 5",0.2203723029367935
"Dentate gyrus, molecular layer",0.2210862632290257
"Interpeduncular nucleus, intermediate",0.22544386040453437
"Retrosplenial area, ventral part, layer 2/3",0.22805213926824786
"Rostrolateral area, layer 5",0.23208415167377516
Motor nucleus of trigeminal,0.24030933322309073
Olivary pretectal nucleus,0.2545750433892827
"Entorhinal area, lateral part, layer 5",0.25518206753231937
Nucleus of reuniens,0.26238836172152924
"Primary somatosensory area, barrel field, layer 1",0.26249968750387487
"Temporal association areas, layer 1",0.264019012970675
Intertrigeminal nucleus,0.26441422242869334
"Basolateral amygdalar nucleus, posterior part",0.2748468343044952
Paranigral nucleus,0.2861762551906233
Dorsal peduncular area,0.2890701322295053
"Orbital area, ventrolateral part, layer 5",0.29533732284287495
"Posterior auditory area, layer 4",0.2982584513086626
Medial pretectal area,0.30101392422345574
Nucleus incertus,0.30680448139508526
"Primary somatosensory area, mouth, layer 2/3",0.30759984661970513
"Primary somatosensory area, upper limb, layer 4",0.31052186977045937
"Primary somatosensory area, unassigned, layer 6b",0.31454496093399886
"Endopiriform nucleus, ventral part",0.31601556751513027
"Anterior area, layer 2/3",0.3170780010028468
"Entorhinal area, lateral part, layer 2",0.3197662223193866
Intergeniculate leaflet of the lateral geniculate complex,0.32187010467178057
superior colliculus commissure,0.32385957569304463
"Supplemental somatosensory area, layer 1",0.3306760873800409
Posterior pretectal nucleus,0.3315532718146592
"Anterior cingulate area, dorsal part, layer 1",0.33811438670646865
"Primary motor area, Layer 5",0.33912521355869524
subependymal zone,0.34536568573135085
Edinger-Westphal nucleus,0.35092060108128803
"Primary somatosensory area, nose, layer 2/3",0.3554440602334698
"Primary auditory area, layer 6b",0.3557127162826259
"Primary somatosensory area, unassigned, layer 4",0.35685014010346916
"Posterior auditory area, layer 6b",0.35759352188609816
"Infralimbic area, layer 1",0.3623581809086487
Principal sensory nucleus of the trigeminal,0.3695522537249093
Trochlear nucleus,0.37025317462601026
"Primary somatosensory area, nose, layer 4",0.3764139545055478
Precommissural nucleus,0.37722385643911427
"Dentate gyrus, polymorph layer",0.3834004111780053
Triangular nucleus of septum,0.3963987718368512
Fundus of striatum,0.4013784035116664
stria medullaris,0.40764964386745517
"Retrosplenial area, lateral agranular part, layer 6b",0.41203069493531086
"Primary somatosensory area, trunk, layer 4",0.42006024876871695
"Dentate gyrus, granule cell layer",0.4257329975513322
"Supplemental somatosensory area, layer 2/3",0.42888525570655145
"Rostrolateral area, layer 6a",0.43297989414622906
"Interpeduncular nucleus, apical",0.43671156945806466
"Superior olivary complex, medial part",0.4387840423140149
"Anteromedial visual area, layer 5",0.4493787904073585
"Anterior cingulate area, dorsal part, layer 2/3",0.4527350066414786
"Anteromedial visual area, layer 6b",0.457874160552175
"Primary somatosensory area, mouth, layer 1",0.46124777728698974
Septofimbrial nucleus,0.465620645863878
"Retrosplenial area, dorsal part, layer 6b",0.48238610694627226
Dorsal terminal nucleus of the accessory optic tract,0.4864243187081631
Presubiculum,0.4927455877937706
Paraflocculus,0.494118007630201
"Retrosplenial area, lateral agranular part, layer 2/3",0.5069587593625187
Hippocampo-amygdalar transition area,0.5079429375850633
Fasciola cinerea,0.5336384690624685
cerebal peduncle,0.5347205019388879
Prosubiculum,0.5605456602933029
"Prelimbic area, layer 5",0.5625927074752828
Interfascicular nucleus raphe,0.5663678826837235
Koelliker-Fuse subnucleus,0.580917938423571
Cortical subplate,0.5830842625398804
Suprachiasmatic nucleus,0.5832154870587091
Medial terminal nucleus of the accessory optic tract,0.5839115224995541
"Primary motor area, Layer 2/3",0.5869710252549847
"Secondary motor area, layer 2/3",0.5942576918406458
"Medial geniculate complex, medial part",0.5969984044881802
"Primary somatosensory area, lower limb, layer 4",0.6168374739641176
Subiculum,0.6181386184523612
"Primary somatosensory area, lower limb, layer 1",0.6202208517235126
spinal tract of the trigeminal nerve,0.6281520104695035
"Dorsal auditory area, layer 6b",0.6371999933668236
Nucleus of the optic tract,0.6557516074125119
Ventral tegmental nucleus,0.6713571978725678
"Dorsal auditory area, layer 6a",0.6804906698566953
"Primary somatosensory area, nose, layer 1",0.6818384210853128
"Ventral auditory area, layer 1",0.6870600459032108
"Primary somatosensory area, upper limb, layer 2/3",0.6872959142329007
"Anteromedial visual area, layer 4",0.6884696984112182
Subfornical organ,0.6890198949751852
"Orbital area, medial part, layer 6a",0.6949284959445758
"Primary somatosensory area, unassigned, layer 2/3",0.7057002723956666
"Orbital area, ventrolateral part, layer 2/3",0.7071067811865475
"Orbital area, ventrolateral part, layer 6b",0.7071067811865475
"Orbital area, medial part, layer 6b",0.7071067811865475
"Laterointermediate area, layer 5",0.7071067811865475
"Agranular insular area, ventral part, layer 6b",0.7071067811865476
"Laterointermediate area, layer 4",0.7071067811865476
oculomotor nerve,0.7071067811865477
Medulla,0.7103165085959247
Nucleus raphe magnus,0.7111724199900011
"Primary somatosensory area, trunk, layer 2/3",0.7116559265476451
"Pontine reticular nucleus, caudal part",0.7136425065079651
"Primary somatosensory area, unassigned, layer 1",0.7600043807723773
"Primary somatosensory area, lower limb, layer 2/3",0.7701265292330222
"Superior olivary complex, periolivary region",0.770410072541392
"Secondary motor area, layer 1",0.7879085232811014
"Basolateral amygdalar nucleus, ventral part",0.7979309505270896
"Primary somatosensory area, upper limb, layer 1",0.799487686131762
"Cortical amygdalar area, posterior part, lateral zone",0.8064317276242051
Hippocampal formation,0.8131106665099693
"Lateral visual area, layer 5",0.8183662205944339
"Primary somatosensory area, trunk, layer 1",0.8196996149322341
"Primary motor area, Layer 1",0.8385394859451263
doral tegmental decussation,0.8399395222985435
Nucleus of the trapezoid body,0.8587328867672356
"Basomedial amygdalar nucleus, posterior part",0.8836037317040004
Posterior amygdalar nucleus,0.9149387896550571
trapezoid body,0.9212254005647149
Intermediate geniculate nucleus,0.9768119594996765
"Taenia tecta, ventral part",0.984515833602819
brachium of the superior colliculus,0.9921379972183417
"Anterior area, layer 6b",0.9963711751316788
"Laterointermediate area, layer 6a",0.9982399525932545
Septohippocampal nucleus,1.0459693895165887
"Lateral visual area, layer 6b",1.0506641533733676
"Orbital area, medial part, layer 5",1.0647627046433952
"Lateral visual area, layer 6a",1.0651779627626945
"Laterointermediate area, layer 6b",1.0780067486103324
